country.homeland.ABY,HABEŞİSTAN
country.homeland.ADA,ADAL SULTANLIĞI
country.homeland.AKK,KONFEDERASYON
country.homeland.ARA,ANAVATAN
country.homeland.ARK,KRALLIK
country.homeland.AVA,KRALLIK
country.homeland.AYU,KRALLIK
country.homeland.AZT,ÜLKE
country.homeland.BAH,SALTANAT
country.homeland.BAV,DÜKALIK
country.homeland.BNG,SALTANAT
country.homeland.BNK,KRALLIK
country.homeland.BOH,KRALLIK
country.homeland.BOS,KRALLIK
country.homeland.BRG,MARKGRAFLIK
country.homeland.BRU,SULTANLIK
country.homeland.BUG,BUGANDA KRALLIĞI
country.homeland.BUR,ANAVATAN
country.homeland.BYZ,İMPARATORLUK
country.homeland.CAH,MİSİSİPİ TOPRAKLARI
country.homeland.CAS,ANAVATAN
country.homeland.CEB,RACALIK
country.homeland.CHE,KONFEDERASYON
country.homeland.CHM,CHİMOR KRALLIĞI
country.homeland.CND,BEYLİK
country.homeland.COL,BAŞPİSKOPOSLUK
country.homeland.CPA,KRALLIK
country.homeland.DAN,ANAVATAN
country.homeland.DEL,SALTANAT
country.homeland.DUL,BEYLİK
country.homeland.DVT,DAI VIET
country.homeland.ENG,BRITANYA
country.homeland.FLR,ANAVATAN
country.homeland.FNJ,FUNC SULTANLIĞI
country.homeland.FRA,KRALLIK
country.homeland.GEN,LA SUPERBA
country.homeland.GRG,GÜRCİSTAN KRALLIĞI
country.homeland.GRN,ENDELÜSİYE
country.homeland.GUJ,SALTANAT
country.homeland.HAB,VATAN
country.homeland.HAU,HAUSA ŞEHİR DEVLETLERİ
country.homeland.HFS,SALTANAT
country.homeland.HRM,HÜRMÜZ KRALLIĞI
country.homeland.HUN,KRALLIK
country.homeland.INC,TAWANTINSUYU
country.homeland.IRO,HAUDENOSAUNEE KONFEDERASYONU
country.homeland.JBR,EL-HASA EMİRLİĞİ
country.homeland.JNP,SULTANLIK
country.homeland.JOS,HANGUK
country.homeland.KAR,BEYLİK
country.homeland.KBR,İMPARATORLUK
country.homeland.KKY,ÜLKE
country.homeland.KLW,SVAHİLİ SAHİLİ
country.homeland.KMR,KRALLIK
country.homeland.KNG,KRALLIK
country.homeland.KNI,TARİKAT
country.homeland.KOT,KRALLIK
country.homeland.KRM,HANLIK
country.homeland.KSH,SULTANLIK
country.homeland.KZN,HANLIK
country.homeland.LEZ,ARNAVUTLUK
country.homeland.LIV,TARİKAT
country.homeland.LNA,KRALLIK
country.homeland.LTH,ANAVATAN
